genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_001831275.1,ASCC 1521,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MLKA01,
GCF_001831235.1,ASCC 3029,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MLJZ01,
GCF_001831215.1,ASCC 3018,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MLKB01,
GCF_001831225.1,ASCC 3016,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MLKC01,
GCF_001816065.1,HMSC25A02,Lactobacillus sp. HMSC25A02 (firmicutes),Lactobacillus sp. HMSC25A02,,LWPM01,respiratory
GCF_001815435.1,HMSC073D04,Lactobacillus sp. HMSC073D04 (firmicutes),Lactobacillus sp. HMSC073D04,,LTSY01,bronchial washing
GCF_001867585.1,AWRIB134,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLH01,Wine
GCF_001867535.1,AWRIB130,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLD01,Pinot Noir
GCF_001867555.1,AWRIB132,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLF01,Wine
GCF_001867525.1,AWRIB124,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKZ01,Wine
GCF_001867485.1,AWRIB1119,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKV01,Cabernet Sauvignon
GCF_001867475.1,AWRIB1118,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKU01,Wine
GCF_001867465.1,AWRIB1116,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKT01,Red wine
GCF_001867445.1,AWRIB1064,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKS01,Cabernet Sauvignon
GCF_001867405.1,AWRIB1063,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKR01,Cabernet Sauvignon
GCF_001867395.1,AWRIB1062,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKQ01,Chardonnay
GCF_001867785.1,AWRIB241,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLW01,SauvBlanc
GCF_001867765.1,AWRIB240,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLV01,Red wine
GCF_001867735.1,AWRIB217,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLU01,Red wine
GCF_001867715.1,AWRIB216,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLT01,Wine
GCF_001867695.1,AWRIB214,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLR01,Wine
GCF_001867685.1,AWRIB203,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLQ01,Wine
GCF_001867655.1,AWRIB136,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLI01,Wine
GCF_001867635.1,AWRIB156,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLP01,Cabernet Sauvignon
GCF_001867615.1,AWRIB148,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLM01,Wine
GCF_001867605.1,AWRIB138,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLJ01,Cabernet Sauvignon
GCF_001867965.1,AWRIB394,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMW01,Red wine
GCF_001867945.1,AWRIB391,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMU01,Shiraz
GCF_001867955.1,AWRIB392,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMV01,Shiraz
GCF_001867915.1,AWRIB346,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMT01,Red wine
GCF_001867895.1,AWRIB343,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMQ01,Pinot Noir
GCF_001867875.1,AWRIB342,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMP01,Shiraz
GCF_001867865.1,AWRIB341,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMO01,Shiraz
GCF_001867835.1,AWRIB333,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMI01,Chardonnay
GCF_001867805.1,AWRIB332,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMH01,Shiraz
GCF_001867795.1,AWRIB330,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMF01,Chardonnay
GCF_001868195.1,AWRIB147,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLL01,Wine
GCF_001868185.1,AWRIB141,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLK01,Wine
GCF_001868125.1,AWRIB128,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLC01,Red wine
GCF_001868145.1,AWRIB131,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLE01,Wine
GCF_001868105.1,AWRIB126,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLA01,Red wine
GCF_001868055.1,AWRIB118,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKX01,Wine
GCF_001868045.1,AWRIB117,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKW01,Red wine
GCF_001868025.1,AWRIB431,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNC01,Cabernet Sauvignon
GCF_001868035.1,AWRIB436,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNG01,Red wine
GCF_001867975.1,AWRIB401,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMY01,Chardonnay
GCF_001868405.1,AWRIB334,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMJ01,Pinot Noir
GCF_001868375.1,AWRIB331,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMG01,Shiraz
GCF_001868355.1,AWRIB327,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMC01,Pinot Noir
GCF_001868345.1,AWRIB326,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMB01,Red wine
GCF_001868315.1,AWRIB323,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLZ01,Wine
GCF_001868285.1,AWRIB322,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLY01,Cabernet Sauvignon
GCF_001868275.1,AWRIB316,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLX01,Wine
GCF_001868265.1,AWRIB215,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLS01,Red wine
GCF_001868225.1,AWRIB151,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLO01,White wine
GCF_001868205.1,AWRIB150,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLN01,Chardonnay
GCF_001868595.1,AWRIB430,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNB01,Cabernet Sauvignon
GCF_001868575.1,AWRIB398,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMX01,Chardonnay
GCF_001868555.1,AWRIB424,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNA01,Cabernet Sauvignon
GCF_001868545.1,AWRIB402,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMZ01,Chardonnay
GCF_001868525.1,AWRIB345,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMS01,Shiraz
GCF_001868495.1,AWRIB344,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMR01,Shiraz
GCF_001868485.1,AWRIB338,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMN01,Wine
GCF_001868445.1,AWRIB329,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLME01,Wine
GCF_001868435.1,AWRIB336,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLML01,Shiraz
GCF_001868425.1,AWRIB335,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMK01,Shiraz
GCF_001868825.1,AWRIB459,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNO01,Wine
GCF_001868815.1,AWRIB462,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNR01,Cabernet Sauvignon
GCF_001868805.1,AWRIB447,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNM01,Cabernet Sauvignon
GCF_001868785.1,AWRIB454,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNN01,White wine
GCF_001868765.1,KLDS 1.0901,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,MNPO01,homemade cheese
GCF_001868715.1,AWRIB446,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNL01,Cabernet Sauvignon
GCF_001868675.1,AWRIB441,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNI01,Cabernet Sauvignon
GCF_001868655.1,AWRIB438,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNH01,Cabernet Sauvignon
GCF_001868635.1,AWRIB433,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNE01,Cabernet Sauvignon
GCF_001868625.1,AWRIB432,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLND01,Cabernet Sauvignon
GCF_001869045.1,AWRIB629,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOI01,Sparkling wine
GCF_001869015.1,AWRIB621,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOG01,Sparkling wine
GCF_001869005.1,AWRIB541,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOB01,Cabernet Sauvignon
GCF_001868965.1,AWRIB565,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOC01,Chardonnay
GCF_001868975.1,AWRIB581,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOD01,Chardonnay
GCF_001868925.1,AWRIB540,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOA01,Shiraz
GCF_001868915.1,AWRIB509,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNZ01,Grenache
GCF_001868905.1,AWRIB494,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNW01,Chardonnay
GCF_001868875.1,AWRIB492,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNV01,Chardonnay
GCF_001868865.1,AWRIB490,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNU01,Chardonnay
GCF_001869235.1,AWRIB879,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPK01,Wine
GCF_001869225.1,AWRIB875,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPJ01,Wine
GCF_001869205.1,AWRIB816,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOX01,Wine
GCF_001869165.1,AWRIB791,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOV01,Wine
GCF_001869135.1,AWRIB714,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOT01,Shiraz
GCF_001869155.1,AWRIB787,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOU01,Wine
GCF_001869125.1,AWRIB708,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOP01,Merlot
GCF_001869085.1,AWRIB625,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOH01,Sparkling wine
GCF_001869055.1,AWRIB670,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOM01,PinotGris
GCF_001869065.1,AWRIB683,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLON01,PinotGris
GCF_001869445.1,AWRIB465,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNS01,Pinot Noir
GCF_001869405.1,AWRIB461,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNQ01,Wine
GCF_001869395.1,AWRIB460,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNP01,Wine
GCF_001869375.1,AWRIB445,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNK01,Shiraz
GCF_001869365.1,AWRIB442,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNJ01,Merlot
GCF_001869325.1,AWRIB984,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPY01,Chardonnay
GCF_001869305.1,AWRIB949,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPW01,Wine
GCF_001869295.1,AWRIB897,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPT01,Wine
GCF_001869285.1,AWRIB880,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPL01,Wine
GCF_001869245.1,AWRIB794,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOW01,Wine
GCF_001869645.1,AWRIB713,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOS01,Shiraz
GCF_001869615.1,AWRIB712,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOR01,Cabernet Sauvignon
GCF_001869605.1,AWRIB663,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOL01,Viognier
GCF_001869575.1,AWRIB661,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOK01,PinotGris
GCF_001869565.1,AWRIB634,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOJ01,Sparkling wine
GCF_001869535.1,AWRIB619,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOF01,Sparkling wine
GCF_001869525.1,AWRIB503,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNX01,Grenache
GCF_001869505.1,AWRIB583,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOE01,Chardonnay
GCF_001869485.1,AWRIB508,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNY01,Grenache
GCF_001869465.1,AWRIB467,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNT01,Pinot Noir
GCF_001869845.1,AWRIB873,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPI01,Wine collected 1986/1984
GCF_001869815.1,AWRIB868,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPH01,Wine
GCF_001869805.1,AWRIB864,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPF01,Wine
GCF_001869775.1,AWRIB863,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPE01,Wine
GCF_001869765.1,AWRIB858,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPD01,Chardonnay
GCF_001869735.1,AWRIB853,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPC01,Chardonnay
GCF_001869725.1,AWRIB847,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPB01,Chardonnay
GCF_001869695.1,AWRIB845,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPA01,Wine
GCF_001869685.1,AWRIB821,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOZ01,Wine
GCF_001869655.1,AWRIB819,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOY01,Wine
GCF_001874125.1,C410L1,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,pit mud
GCF_001870035.1,AWRIB950,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPX01,Pinot Noir
GCF_001870015.1,AWRIB900,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPV01,Wine
GCF_001869985.1,AWRIB889,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPS01,Wine
GCF_001869935.1,AWRIB888,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPR01,Wine
GCF_001869945.1,AWRIB887,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPQ01,Wine
GCF_001869925.1,AWRIB885,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPP01,Wine
GCF_001869905.1,AWRIB884,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPO01,Wine
GCF_001869885.1,AWRIB883,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPN01,Wine
GCF_001869855.1,AWRIB882,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPM01,Wine
GCF_001880185.2,MF1298,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,"Fermented sausage, Norway"
GCF_001888325.1,P31,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBP01,
GCF_001888275.1,T10,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBS01,
GCF_001888265.1,K35,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBT01,
GCF_001888255.1,P22,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBR01,
GCF_001888245.1,I61,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBU01,
GCF_001886915.1,DRC1506,Leuconostoc mesenteroides subsp. jonggajibkimchii (firmicutes),Leuconostoc mesenteroides,assembly from type material,,Kimchi
GCF_001885295.1,Z11,Lactobacillus casei (firmicutes),Lactobacillus casei,,MPOP01,adult intestinal biopsy
GCF_001884305.1,MBF8-1,Weissella confusa (firmicutes),Weissella confusa,,MNBZ01,soy product
GCF_001880185.1,MF1298,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,"Fermented sausage, Norway"
GCF_001888505.1,MHO2.9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBG01,
GCF_001888495.1,MHO2.5,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBH01,
GCF_001888485.1,MHO2.4,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBI01,
GCF_001888465.1,P76,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBK01,
GCF_001888415.1,P86,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBJ01,
GCF_001888425.1,P73,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBL01,
GCF_001888405.1,P67,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBM01,
GCF_001888345.1,P26,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBQ01,
GCF_001888335.1,P42,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBO01,
GCF_001888355.1,P62,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBN01,
GCF_001888725.1,TISTR875,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEAW01,
GCF_001888665.1,DSM 20246,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEAX01,
GCF_001888675.1,CIF17AN8,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEAZ01,
GCF_001888655.1,DSM 2601,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEAY01,
GCF_001888645.1,CIF17AN2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBA01,
GCF_001888585.1,CIF17A4,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBC01,
GCF_001888575.1,CIF17A2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBD01,
GCF_001888595.1,CIF17A5,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBB01,
GCF_001888565.1,I08,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBE01,
GCF_001888525.1,A3,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBF01,
GCF_001891125.1,DSM 20241,Leuconostoc suionicum (firmicutes),Leuconostoc suionicum,assembly from type material,,missing
GCF_001889975.1,121,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MKQH01,
GCF_001888985.1,KCTC 3035,Lactobacillus delbrueckii subsp. lactis (firmicutes),Lactobacillus delbrueckii,,,missing
GCF_001888965.1,JCM 17838,Lactobacillus delbrueckii subsp. sunkii (firmicutes),Lactobacillus delbrueckii,assembly from type material,,environment
GCF_001888945.1,KCTC 13731,Lactobacillus delbrueckii subsp. delbrueckii (firmicutes),Lactobacillus delbrueckii,,,environment
GCF_001888925.1,DSM 26046,Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046 (firmicutes),Lactobacillus delbrueckii,,,environment
GCF_001888905.1,KCCM 34717,Lactobacillus delbrueckii subsp. lactis (firmicutes),Lactobacillus delbrueckii,,,environment
GCF_001888745.1,K36,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBW01,
GCF_001888775.1,P14,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEBV01,
GCF_001888735.1,299v,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LEAV01,
GCF_001932615.1,FOL01,Weissella jogaejeotgali (firmicutes),Weissella jogaejeotgali,assembly from type material,,"Jogaejeotgal, a Traditional Korean Fermented Seafood"
GCF_001923055.1,L101,Lactobacillus backii (firmicutes),Lactobacillus backii,,LGIZ01,spoiled beer
GCF_001923045.1,BSO 310,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,LGIX01,brewery
GCF_001922325.1,BCC1,Pediococcus acidilactici (firmicutes),Pediococcus acidilactici,,,broiler chick cecum
GCF_001922025.1,FAM21731,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,,Emmental
GCF_001908495.1,DSM 20074,Lactobacillus delbrueckii subsp. delbrueckii DSM 20074 = JCM 1012 (firmicutes),Lactobacillus delbrueckii,assembly from type material,,environment
GCF_001908455.1,TS12,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,,Stinky Tofu
GCF_001908415.1,JCM 15610,Lactobacillus delbrueckii subsp. indicus (firmicutes),Lactobacillus delbrueckii,assembly from type material,,environment
GCF_001895375.1,AJT,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,MPSU01,
GCF_001895185.1,LC-Ikematsu,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,BDIT01,pineapple
GCF_001939485.1,AWRIB867,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLPG01,Wine
GCF_001939435.1,AWRIB324,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMA01,Cabernet Sauvignon
GCF_001939425.1,AWRIB121,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLKY01,Wine
GCF_001939365.1,AWRIB706,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOO01,Red wine
GCF_001939355.1,AWRIB710,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLOQ01,Cabernet Sauvignon
GCF_001939345.1,AWRIB133,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLLG01,Wine
GCF_001939375.1,AWRIB328,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLMD01,Red wine
GCF_001936335.1,DSM 20533,Lactobacillus amylophilus DSM 20533 = JCM 1125 (firmicutes),Lactobacillus amylophilus,assembly from type material,,swine waste-corn fermentation
GCF_001936235.1,SNUV360,Lactobacillus jensenii (firmicutes),Lactobacillus jensenii,,,vaginal environment
GCF_001932695.1,CMS2,Weissella cibaria (firmicutes),Weissella cibaria,,,infant saliva
GCF_001951075.2,CMU,Weissella cibaria (firmicutes),Weissella cibaria,,,infant saliva
GCF_001953135.1,DSM 20080,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus delbrueckii,,,environment
GCF_001951175.1,MN047,Lactobacillus crustorum (firmicutes),Lactobacillus crustorum,,,
GCF_001951095.1,CMS3,Weissella cibaria (firmicutes),Weissella cibaria,,,infant saliva
GCF_001951075.1,CMU,Weissella cibaria (firmicutes),Weissella cibaria,,,infant saliva
GCF_001950045.1,L-55,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,BDHM01,
GCF_001949975.1,FF30-6,Lactobacillus kunkeei (firmicutes),Lactobacillus kunkeei,,BDDX01,
GCF_001941785.1,SNUV175,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,vaginal tract
GCF_001940585.1,B900021,Lactobacillus casei (firmicutes),Lactobacillus casei,,LOJN01,oat silage
GCF_001939495.1,AWRIB435,Oenococcus oeni (firmicutes),Oenococcus oeni,,MLNF01,Cabernet Sauvignon
GCF_001981665.1,RI-189,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHJ01,missing
GCF_001981655.1,RI-190,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHK01,intestine of an adult
GCF_001981645.1,RI-011,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHC01,missing
GCF_001981595.1,RI-012,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHD01,missing
GCF_001981585.1,RI-048,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHG01,milk product
GCF_001981575.1,RI-165,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHI01,missing
GCF_001981565.1,RI-162,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHH01,missing
GCF_001971585.1,WiKim39,Lactobacillus allii (firmicutes),Lactobacillus allii,assembly from type material,,Kimchi
GCF_001953785.1,EF-1,Lactobacillus murinus (firmicutes),Lactobacillus murinus,,MPSN01,fecal
GCF_001953605.1,EF,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,LPXV01,whole fly
GCF_001981875.1,RI-422,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDK01,meat
GCF_001981865.1,RI-208,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKFX01,missing
GCF_001981835.1,RI-410,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDI01,missing
GCF_001981825.1,RI-404,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDE01,missing
GCF_001981795.1,RI-409,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKGB01,missing
GCF_001981785.1,RI-405,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDF01,missing
GCF_001981735.1,RI-403,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDD01,missing
GCF_001981725.1,RI-004,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MJHB01,missing
GCF_001981715.1,RI-210,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,MKFY01,missing
GCF_001981705.1,RI-394,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDC01,meat
GCF_001982085.1,RI-194,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,MKFZ01,missing
GCF_001982045.1,RI-193,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,MKGD01,missing
GCF_001982035.1,RI-140,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDT01,maize silage
GCF_001982025.1,RI-124,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,MKDR01,missing
GCF_001982005.1,RI-123,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDQ01,sourdough
GCF_001981985.1,RI-086,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDP01,milk product
GCF_001981955.1,RI-408,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDH01,meat
GCF_001981945.1,RI-412,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDJ01,missing
GCF_001981925.1,RI-198,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,MKGC01,missing
GCF_001981905.1,RI-406,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,MKDG01,missing
GCF_001982285.1,RI-139,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDS01,grass silage
GCF_001982265.1,RI-515,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKGF01,cacao been fermentation
GCF_001982245.1,RI-512,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEF01,cacao been fermentation
GCF_001982205.1,RI-511,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEE01,cacao been fermentation
GCF_001982195.1,RI-510,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKED01,cacao been fermentation
GCF_001982185.1,RI-508,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,MKGE01,cacao been fermentation
GCF_001982165.1,RI-507,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEB01,cacao been fermentation
GCF_001982125.1,RI-266,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDY01,missing
GCF_001982115.1,RI-506,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEA01,cacao been fermentation
