	GCA_000176995.1	GCA_001046795.1	GCA_002025085.1	GCA_002311195.1	GCA_002406765.1	GCA_002418095.1	GCA_003045645.1	GCA_003045685.1	GCA_003072625.1	GCA_003433375.1	GCA_003535895.1	GCA_003666485.1	GCA_900088455.1	GCF_000014385.1	GCF_000014505.1	GCF_000091765.1	GCF_000092505.1	GCF_000146325.1	GCF_000159195.1	GCF_000159335.1	GCF_000159375.2	GCF_000159395.1	GCF_000159415.1	GCF_000159435.1	GCF_000160575.1	GCF_000160835.1	GCF_000160875.1	GCF_000161935.1	GCF_000162395.1	GCF_000165675.1	GCF_000165775.1	GCF_000166715.1	GCF_000178475.1	GCF_000179875.1	GCF_000180015.1	GCF_000182855.2	GCF_000193635.1	GCF_000211375.1	GCF_000219805.1	GCF_000235705.1	GCF_000237995.1	GCF_000241055.1	GCF_000242275.1	GCF_000247775.1	GCF_000248095.2	GCF_000260395.1	GCF_000260775.1	GCF_000271445.1	GCF_000277855.1	GCF_000296855.1	GCF_000297025.1	GCF_000300135.1	GCF_000304715.1	GCF_000312405.1	GCF_000364205.1	GCF_000389675.2	GCF_000415925.1	GCF_000420365.1	GCF_000423245.1	GCF_000423265.1	GCF_000425905.1	GCF_000469325.1	GCF_000498955.1	GCF_000504525.1	GCF_000686465.1	GCF_000691805.1	GCF_000715455.1	GCF_000740055.1	GCF_000741865.1	GCF_000750515.1	GCF_000761135.1	GCF_000785105.1	GCF_000814185.1	GCF_000814735.1	GCF_000829395.1	GCF_000831645.1	GCF_000876205.1	GCF_000962875.1	GCF_000965255.1	GCF_000967245.1	GCF_000970755.1	GCF_000970795.1	GCF_001012665.1	GCF_001027985.1	GCF_001039045.1	GCF_001047075.2	GCF_001047095.1	GCF_001047135.1	GCF_001050435.1	GCF_001050475.1	GCF_001190005.1	GCF_001281175.1	GCF_001293735.1	GCF_001308205.1	GCF_001433765.1	GCF_001433815.1	GCF_001433995.1	GCF_001434055.1	GCF_001434115.1	GCF_001434195.1	GCF_001434225.1	GCF_001434255.1	GCF_001434275.1	GCF_001434295.1	GCF_001434315.1	GCF_001434335.1	GCF_001434395.1	GCF_001434405.1	GCF_001434435.1	GCF_001434455.1	GCF_001434515.1	GCF_001434535.1	GCF_001434555.1	GCF_001434575.1	GCF_001434665.1	GCF_001434695.1	GCF_001434705.1	GCF_001434745.1	GCF_001434775.1	GCF_001434785.1	GCF_001434815.1	GCF_001434835.1	GCF_001434845.1	GCF_001434895.1	GCF_001434915.1	GCF_001434935.1	GCF_001434975.1	GCF_001434985.1	GCF_001435035.1	GCF_001435115.1	GCF_001435155.1	GCF_001435195.1	GCF_001435235.1	GCF_001435245.1	GCF_001435325.1	GCF_001435345.1	GCF_001435375.1	GCF_001435395.1	GCF_001435445.1	GCF_001435505.1	GCF_001435555.1	GCF_001435575.1	GCF_001435585.1	GCF_001435755.1	GCF_001435815.1	GCF_001435835.1	GCF_001435875.1	GCF_001435895.1	GCF_001435975.1	GCF_001435995.1	GCF_001436035.1	GCF_001436045.1	GCF_001436095.1	GCF_001436115.1	GCF_001436125.1	GCF_001436135.1	GCF_001436225.1	GCF_001436255.1	GCF_001436275.1	GCF_001436295.1	GCF_001436375.1	GCF_001436415.1	GCF_001436505.1	GCF_001436535.1	GCF_001436555.1	GCF_001436595.1	GCF_001436605.1	GCF_001436615.1	GCF_001436675.1	GCF_001436695.1	GCF_001436705.1	GCF_001436735.1	GCF_001436755.1	GCF_001436775.1	GCF_001436805.1	GCF_001436895.1	GCF_001437055.1	GCF_001437075.1	GCF_001437125.1	GCF_001437335.1	GCF_001437355.1	GCF_001437405.1	GCF_001437425.1	GCF_001437435.1	GCF_001437465.1	GCF_001437605.1	GCF_001438655.1	GCF_001438685.1	GCF_001438705.1	GCF_001438805.1	GCF_001438845.1	GCF_001636145.1	GCF_001640785.1	GCF_001652045.1	GCF_001663675.1	GCF_001761545.1	GCF_001951175.1	GCF_001971585.1	GCF_002117325.1	GCF_002157585.1	GCF_002217925.1	GCF_002217945.1	GCF_002217965.1	GCF_002240375.1	GCF_002276525.1	GCF_002583405.1	GCF_002762335.1	GCF_002872255.1	GCF_002911475.1	GCF_002916915.1	GCF_002916935.1	GCF_002940945.1	GCF_002970915.1	GCF_002970935.1	GCF_002982135.1	GCF_002993965.1	GCF_002994005.1	GCF_003096575.1	GCF_003124125.1	GCF_003151025.1	GCF_003202825.1	GCF_003363255.1	GCF_003423665.1	GCF_003515805.1	GCF_003573575.1	GCF_003606365.1	GCF_003627035.1	GCF_003692755.1	GCF_003692845.1	GCF_900094835.1	GCF_900095015.1	GCF_900108455.1	GCF_900110005.1	GCF_900112405.1	GCF_900156885.1	GCF_900215775.1	GCF_900240275.1	GCF_900258455.1	GCF_900411375.1
OG0018301																																																																																																																																																NZ_AZFI01000056.1_3																																																																																															
OG0018302																																																																																																																																																NZ_AZFI01000059.1_9																																																																																															
OG0018303																																																																																																																																																NZ_AZFI01000063.1_3																																																																																															
OG0018304																																																																																																																																																NZ_AZFI01000007.1_1																																																																																															
OG0018305																																																																																																																																																NZ_AZFI01000007.1_19																																																																																															
OG0018306																																																																																																																																																NZ_AZFI01000072.1_8																																																																																															
OG0018307																																																																																																																																																NZ_AZFI01000088.1_2																																																																																															
OG0018308																																																																																																																																																NZ_AZFI01000088.1_4																																																																																															
OG0018309																																																																																																																																																NZ_AZFI01000009.1_14																																																																																															
OG0018310																																																																																																																																																NZ_AZFI01000090.1_9																																																																																															
OG0018311																																																																																																																																																NZ_AZFI01000091.1_6																																																																																															
OG0018312																																																																																																																																																	NZ_AZFV01000001.1_131																																																																																														
OG0018313																																																																																																																																																	NZ_AZFV01000001.1_167																																																																																														
OG0018314																																																																																																																																																	NZ_AZFV01000011.1_70																																																																																														
OG0018315																																																																																																																																																	NZ_AZFV01000011.1_72																																																																																														
OG0018316																																																																																																																																																	NZ_AZFV01000013.1_1																																																																																														
OG0018317																																																																																																																																																	NZ_AZFV01000013.1_32																																																																																														
OG0018318																																																																																																																																																	NZ_AZFV01000015.1_49																																																																																														
OG0018319																																																																																																																																																	NZ_AZFV01000016.1_38																																																																																														
OG0018320																																																																																																																																																	NZ_AZFV01000017.1_35																																																																																														
OG0018321																																																																																																																																																	NZ_AZFV01000018.1_44																																																																																														
OG0018322																																																																																																																																																	NZ_AZFV01000018.1_47																																																																																														
OG0018323																																																																																																																																																	NZ_AZFV01000018.1_51																																																																																														
OG0018324																																																																																																																																																	NZ_AZFV01000018.1_54																																																																																														
OG0018325																																																																																																																																																	NZ_AZFV01000018.1_55																																																																																														
OG0018326																																																																																																																																																	NZ_AZFV01000018.1_57																																																																																														
OG0018327																																																																																																																																																	NZ_AZFV01000018.1_58																																																																																														
OG0018328																																																																																																																																																	NZ_AZFV01000019.1_52																																																																																														
OG0018329																																																																																																																																																	NZ_AZFV01000019.1_54																																																																																														
OG0018330																																																																																																																																																	NZ_AZFV01000002.1_65																																																																																														
OG0018331																																																																																																																																																	NZ_AZFV01000002.1_66																																																																																														
OG0018332																																																																																																																																																	NZ_AZFV01000002.1_70																																																																																														
OG0018333																																																																																																																																																	NZ_AZFV01000002.1_74																																																																																														
OG0018334																																																																																																																																																	NZ_AZFV01000002.1_79																																																																																														
OG0018335																																																																																																																																																	NZ_AZFV01000021.1_3																																																																																														
OG0018336																																																																																																																																																	NZ_AZFV01000022.1_36																																																																																														
OG0018337																																																																																																																																																	NZ_AZFV01000022.1_41																																																																																														
OG0018338																																																																																																																																																	NZ_AZFV01000022.1_42																																																																																														
OG0018339																																																																																																																																																	NZ_AZFV01000022.1_43																																																																																														
OG0018340																																																																																																																																																	NZ_AZFV01000031.1_9																																																																																														
OG0018341																																																																																																																																																	NZ_AZFV01000031.1_11																																																																																														
OG0018342																																																																																																																																																	NZ_AZFV01000031.1_13																																																																																														
OG0018343																																																																																																																																																	NZ_AZFV01000031.1_20																																																																																														
OG0018344																																																																																																																																																	NZ_AZFV01000038.1_29																																																																																														
OG0018345																																																																																																																																																	NZ_AZFV01000051.1_5																																																																																														
OG0018346																																																																																																																																																	NZ_AZFV01000053.1_2																																																																																														
OG0018347																																																																																																																																																	NZ_AZFV01000006.1_98																																																																																														
OG0018348																																																																																																																																																	NZ_AZFV01000009.1_21																																																																																														
OG0018349																																																																																																																																																	NZ_AZFV01000009.1_45																																																																																														
OG0018350																																																																																																																																																	NZ_AZFV01000009.1_60																																																																																														
OG0018351																																																																																																																																																	NZ_AZFV01000009.1_64																																																																																														
OG0018352																																																																																																																																																	NZ_AZFV01000009.1_65																																																																																														
OG0018353																																																																																																																																																	NZ_AZFV01000093.1_1																																																																																														
OG0018354																																																																																																																																																		NZ_AZFX01000009.1_4																																																																																													
OG0018355																																																																																																																																																		NZ_AZFX01000068.1_10																																																																																													
OG0018356																																																																																																																																																		NZ_AZFX01000078.1_2																																																																																													
OG0018357																																																																																																																																																		NZ_AZFX01000079.1_1																																																																																													
OG0018358																																																																																																																																																		NZ_AZFX01000079.1_2																																																																																													
OG0018359																																																																																																																																																		NZ_AZFX01000079.1_3																																																																																													
OG0018360																																																																																																																																																		NZ_AZFX01000080.1_15																																																																																													
OG0018361																																																																																																																																																		NZ_AZFX01000015.1_35																																																																																													
OG0018362																																																																																																																																																		NZ_AZFX01000002.1_7																																																																																													
OG0018363																																																																																																																																																		NZ_AZFX01000087.1_9																																																																																													
OG0018364																																																																																																																																																		NZ_AZFX01000087.1_13																																																																																													
OG0018365																																																																																																																																																		NZ_AZFX01000087.1_24																																																																																													
OG0018366																																																																																																																																																		NZ_AZFX01000088.1_1																																																																																													
OG0018367																																																																																																																																																		NZ_AZFX01000088.1_2																																																																																													
OG0018368																																																																																																																																																		NZ_AZFX01000020.1_1																																																																																													
OG0018369																																																																																																																																																		NZ_AZFX01000089.1_2																																																																																													
OG0018370																																																																																																																																																		NZ_AZFX01000089.1_8																																																																																													
OG0018371																																																																																																																																																		NZ_AZFX01000089.1_30																																																																																													
OG0018372																																																																																																																																																		NZ_AZFX01000089.1_31																																																																																													
OG0018373																																																																																																																																																		NZ_AZFX01000092.1_10																																																																																													
OG0018374																																																																																																																																																		NZ_AZFX01000094.1_3																																																																																													
OG0018375																																																																																																																																																		NZ_AZFX01000094.1_22																																																																																													
OG0018376																																																																																																																																																		NZ_AZFX01000094.1_30																																																																																													
OG0018377																																																																																																																																																		NZ_AZFX01000094.1_76																																																																																													
OG0018378																																																																																																																																																		NZ_AZFX01000095.1_21																																																																																													
OG0018379																																																																																																																																																		NZ_AZFX01000024.1_1																																																																																													
OG0018380																																																																																																																																																		NZ_AZFX01000096.1_42																																																																																													
OG0018381																																																																																																																																																		NZ_AZFX01000003.1_10																																																																																													
OG0018382																																																																																																																																																		NZ_AZFX01000003.1_42																																																																																													
OG0018383																																																																																																																																																		NZ_AZFX01000003.1_70																																																																																													
OG0018384																																																																																																																																																		NZ_AZFX01000003.1_120																																																																																													
OG0018385																																																																																																																																																		NZ_AZFX01000031.1_5																																																																																													
OG0018386																																																																																																																																																		NZ_AZFX01000004.1_34																																																																																													
OG0018387																																																																																																																																																		NZ_AZFX01000004.1_48																																																																																													
OG0018388																																																																																																																																																		NZ_AZFX01000036.1_38																																																																																													
OG0018389																																																																																																																																																		NZ_AZFX01000036.1_60																																																																																													
OG0018390																																																																																																																																																		NZ_AZFX01000038.1_6																																																																																													
OG0018391																																																																																																																																																		NZ_AZFX01000038.1_7																																																																																													
OG0018392																																																																																																																																																		NZ_AZFX01000038.1_36																																																																																													
OG0018393																																																																																																																																																		NZ_AZFX01000038.1_52																																																																																													
OG0018394																																																																																																																																																		NZ_AZFX01000040.1_23																																																																																													
OG0018395																																																																																																																																																		NZ_AZFX01000040.1_40																																																																																													
OG0018396																																																																																																																																																		NZ_AZFX01000005.1_1																																																																																													
OG0018397																																																																																																																																																		NZ_AZFX01000041.1_20																																																																																													
OG0018398																																																																																																																																																		NZ_AZFX01000042.1_5																																																																																													
OG0018399																																																																																																																																																		NZ_AZFX01000042.1_6																																																																																													
OG0018400																																																																																																																																																		NZ_AZFX01000043.1_7																																																																																													
OG0018401																																																																																																																																																		NZ_AZFX01000043.1_10																																																																																													
OG0018402																																																																																																																																																		NZ_AZFX01000043.1_11																																																																																													
OG0018403																																																																																																																																																		NZ_AZFX01000044.1_1																																																																																													
OG0018404																																																																																																																																																		NZ_AZFX01000045.1_10																																																																																													
OG0018405																																																																																																																																																		NZ_AZFX01000045.1_29																																																																																													
OG0018406																																																																																																																																																		NZ_AZFX01000059.1_18																																																																																													
OG0018407																																																																																																																																																		NZ_AZFX01000059.1_25																																																																																													
OG0018408																																																																																																																																																		NZ_AZFX01000059.1_38																																																																																													
OG0018409																																																																																																																																																		NZ_AZFX01000059.1_70																																																																																													
OG0018410																																																																																																																																																		NZ_AZFX01000060.1_6																																																																																													
OG0018411																																																																																																																																																			NZ_AZFY01000073.1_28																																																																																												
OG0018412																																																																																																																																																			NZ_AZFY01000081.1_1																																																																																												
OG0018413																																																																																																																																																			NZ_AZFY01000082.1_5																																																																																												
OG0018414																																																																																																																																																			NZ_AZFY01000085.1_51																																																																																												
OG0018415																																																																																																																																																			NZ_AZFY01000085.1_85																																																																																												
OG0018416																																																																																																																																																			NZ_AZFY01000092.1_39																																																																																												
OG0018417																																																																																																																																																			NZ_AZFY01000094.1_4																																																																																												
OG0018418																																																																																																																																																			NZ_AZFY01000096.1_1																																																																																												
OG0018419																																																																																																																																																			NZ_AZFY01000096.1_15																																																																																												
OG0018420																																																																																																																																																			NZ_AZFY01000096.1_23																																																																																												
OG0018421																																																																																																																																																			NZ_AZFY01000097.1_1																																																																																												
OG0018422																																																																																																																																																			NZ_AZFY01000097.1_3																																																																																												
OG0018423																																																																																																																																																			NZ_AZFY01000097.1_6																																																																																												
OG0018424																																																																																																																																																			NZ_AZFY01000104.1_3																																																																																												
OG0018425																																																																																																																																																			NZ_AZFY01000105.1_29																																																																																												
OG0018426																																																																																																																																																			NZ_AZFY01000106.1_2																																																																																												
OG0018427																																																																																																																																																			NZ_AZFY01000108.1_15																																																																																												
OG0018428																																																																																																																																																			NZ_AZFY01000109.1_12																																																																																												
OG0018429																																																																																																																																																			NZ_AZFY01000110.1_1																																																																																												
OG0018430																																																																																																																																																			NZ_AZFY01000015.1_3																																																																																												
OG0018431																																																																																																																																																			NZ_AZFY01000015.1_4																																																																																												
OG0018432																																																																																																																																																			NZ_AZFY01000114.1_7																																																																																												
OG0018433																																																																																																																																																			NZ_AZFY01000114.1_8																																																																																												
OG0018434																																																																																																																																																			NZ_AZFY01000114.1_23																																																																																												
OG0018435																																																																																																																																																			NZ_AZFY01000114.1_25																																																																																												
OG0018436																																																																																																																																																			NZ_AZFY01000118.1_35																																																																																												
OG0018437																																																																																																																																																			NZ_AZFY01000119.1_8																																																																																												
OG0018438																																																																																																																																																			NZ_AZFY01000119.1_21																																																																																												
OG0018439																																																																																																																																																			NZ_AZFY01000122.1_18																																																																																												
OG0018440																																																																																																																																																			NZ_AZFY01000122.1_31																																																																																												
OG0018441																																																																																																																																																			NZ_AZFY01000017.1_35																																																																																												
OG0018442																																																																																																																																																			NZ_AZFY01000018.1_3																																																																																												
OG0018443																																																																																																																																																			NZ_AZFY01000018.1_4																																																																																												
OG0018444																																																																																																																																																			NZ_AZFY01000131.1_9																																																																																												
OG0018445																																																																																																																																																			NZ_AZFY01000138.1_1																																																																																												
OG0018446																																																																																																																																																			NZ_AZFY01000139.1_1																																																																																												
OG0018447																																																																																																																																																			NZ_AZFY01000021.1_42																																																																																												
OG0018448																																																																																																																																																			NZ_AZFY01000145.1_36																																																																																												
OG0018449																																																																																																																																																			NZ_AZFY01000148.1_70																																																																																												
OG0018450																																																																																																																																																			NZ_AZFY01000024.1_3																																																																																												
OG0018451																																																																																																																																																			NZ_AZFY01000024.1_16																																																																																												
OG0018452																																																																																																																																																			NZ_AZFY01000153.1_2																																																																																												
OG0018453																																																																																																																																																			NZ_AZFY01000154.1_22																																																																																												
OG0018454																																																																																																																																																			NZ_AZFY01000032.1_26																																																																																												
OG0018455																																																																																																																																																			NZ_AZFY01000034.1_156																																																																																												
OG0018456																																																																																																																																																			NZ_AZFY01000042.1_46																																																																																												
OG0018457																																																																																																																																																			NZ_AZFY01000046.1_3																																																																																												
OG0018458																																																																																																																																																			NZ_AZFY01000004.1_2																																																																																												
OG0018459																																																																																																																																																			NZ_AZFY01000004.1_3																																																																																												
OG0018460																																																																																																																																																			NZ_AZFY01000004.1_5																																																																																												
OG0018461																																																																																																																																																			NZ_AZFY01000004.1_6																																																																																												
OG0018462																																																																																																																																																			NZ_AZFY01000004.1_10																																																																																												
OG0018463																																																																																																																																																			NZ_AZFY01000053.1_14																																																																																												
OG0018464																																																																																																																																																			NZ_AZFY01000005.1_3																																																																																												
OG0018465																																																																																																																																																			NZ_AZFY01000059.1_4																																																																																												
OG0018466																																																																																																																																																			NZ_AZFY01000006.1_1																																																																																												
OG0018467																																																																																																																																																			NZ_AZFY01000006.1_5																																																																																												
